iter	Passed	Remaining
0	8	8045
1	17	8026
2	27	8617
3	39	9232
4	48	9028
5	57	8807
6	67	8908
7	77	8942
8	86	8830
9	98	9115
10	106	8948
11	115	8831
12	123	8705
13	155	10200
14	185	11354
15	205	11789
16	223	12050
17	233	11858
18	243	11710
19	251	11501
20	264	11468
21	275	11416
22	283	11219
23	294	11159
24	304	11046
25	318	11094
26	329	11050
27	335	10845
28	345	10772
29	353	10641
30	363	10577
31	371	10471
32	379	10361
33	389	10298
34	396	10164
35	407	10159
36	416	10079
37	422	9956
38	429	9837
39	436	9738
40	443	9657
41	452	9590
42	462	9569
43	469	9487
44	481	9495
45	493	9521
46	501	9456
47	511	9423
48	519	9372
49	527	9318
50	536	9282
51	544	9223
52	551	9161
53	559	9104
54	570	9100
55	576	9028
56	586	9016
57	597	9019
58	606	8991
59	614	8936
60	623	8918
61	634	8920
62	643	8883
63	653	8870
64	661	8826
65	670	8809
66	676	8746
67	686	8728
68	695	8711
69	703	8674
70	710	8621
71	716	8565
72	722	8509
73	728	8458
74	734	8401
75	741	8360
76	747	8313
77	754	8268
78	760	8222
79	766	8176
80	774	8141
81	781	8109
82	788	8075
83	803	8116
84	810	8089
85	822	8099
86	830	8072
87	839	8062
88	850	8066
89	859	8047
90	868	8037
91	879	8035
92	888	8028
93	896	7998
94	903	7970
95	911	7950
96	919	7920
97	925	7888
98	933	7862
99	940	7838
100	950	7833
101	959	7815
102	968	7801
103	980	7817
104	991	7818
105	1004	7833
106	1012	7817
107	1024	7827
108	1034	7817
109	1042	7801
110	1051	7785
111	1062	7791
112	1071	7777
113	1081	7770
114	1089	7749
115	1110	7822
116	1120	7813
117	1130	7808
118	1138	7790
119	1149	7786
120	1157	7769
121	1177	7826
122	1209	7963
123	1222	7972
124	1243	8039
125	1252	8023
126	1261	8008
127	1273	8011
128	1280	7982
129	1287	7949
130	1294	7925
131	1307	7932
132	1315	7913
133	1322	7883
134	1328	7855
135	1334	7820
136	1342	7799
137	1351	7787
138	1359	7768
139	1367	7747
140	1375	7726
141	1383	7707
142	1390	7684
143	1403	7687
144	1413	7682
145	1420	7657
146	1427	7633
147	1434	7610
148	1443	7593
149	1450	7569
150	1456	7544
151	1463	7519
152	1470	7497
153	1477	7471
154	1483	7445
155	1492	7431
156	1502	7427
157	1510	7410
158	1516	7384
159	1523	7361
160	1531	7345
161	1543	7345
162	1552	7333
163	1559	7312
164	1566	7292
165	1575	7279
166	1583	7264
167	1592	7251
168	1601	7237
169	1611	7230
170	1620	7220
171	1629	7208
172	1636	7188
173	1643	7168
174	1651	7154
175	1660	7141
176	1667	7122
177	1675	7104
178	1682	7088
179	1691	7074
180	1697	7053
181	1705	7036
182	1712	7016
183	1719	6998
184	1726	6981
185	1733	6963
186	1741	6947
187	1749	6930
188	1757	6918
189	1765	6905
190	1773	6889
191	1780	6871
192	1788	6858
193	1798	6849
194	1807	6841
195	1815	6828
196	1823	6813
197	1830	6794
198	1837	6777
199	1843	6758
200	1850	6739
201	1857	6722
202	1864	6704
203	1871	6688
204	1879	6674
205	1886	6657
206	1894	6645
207	1904	6638
208	1911	6622
209	1917	6602
210	1923	6581
211	1932	6573
212	1942	6567
213	1949	6551
214	1956	6532
215	1962	6514
216	1970	6502
217	1979	6492
218	1986	6476
219	1992	6458
220	1999	6442
221	2006	6427
222	2014	6413
223	2020	6395
224	2027	6381
225	2034	6363
226	2040	6346
227	2046	6328
228	2052	6310
229	2059	6293
230	2065	6276
231	2072	6263
232	2079	6246
233	2086	6232
234	2093	6218
235	2102	6208
236	2108	6193
237	2115	6176
238	2121	6160
239	2128	6146
240	2135	6131
241	2141	6115
242	2147	6099
243	2153	6082
244	2161	6069
245	2168	6056
246	2176	6044
247	2182	6029
248	2190	6016
249	2196	6001
250	2203	5987
251	2211	5976
252	2218	5963
253	2226	5950
254	2235	5944
255	2244	5936
256	2252	5924
257	2261	5916
258	2271	5912
259	2281	5905
260	2290	5898
261	2299	5890
262	2308	5880
263	2315	5868
264	2324	5859
265	2333	5851
266	2341	5840
267	2353	5840
268	2363	5834
269	2374	5830
270	2382	5819
271	2392	5814
272	2400	5804
273	2407	5790
274	2415	5779
275	2423	5769
276	2432	5760
277	2440	5750
278	2448	5740
279	2456	5729
280	2463	5717
281	2471	5706
282	2480	5697
283	2489	5689
284	2497	5679
285	2506	5669
286	2514	5659
287	2521	5648
288	2528	5634
289	2536	5623
290	2543	5611
291	2550	5598
292	2556	5584
293	2564	5572
294	2572	5564
295	2580	5553
296	2589	5544
297	2597	5535
298	2604	5523
299	2613	5514
300	2622	5505
301	2630	5496
302	2637	5484
303	2644	5471
304	2652	5461
305	2660	5450
306	2668	5441
307	2675	5430
308	2685	5422
309	2696	5418
310	2705	5411
311	2713	5400
312	2720	5389
313	2730	5383
314	2740	5376
315	2747	5364
316	2754	5351
317	2761	5340
318	2769	5331
319	2778	5321
320	2785	5310
321	2792	5298
322	2800	5288
323	2806	5276
324	2813	5262
325	2821	5253
326	2829	5243
327	2836	5231
328	2842	5219
329	2849	5207
330	2856	5195
331	2863	5183
332	2870	5172
333	2877	5160
334	2885	5150
335	2893	5141
336	2900	5130
337	2907	5119
338	2914	5107
339	2922	5097
340	2931	5089
341	2939	5079
342	2946	5068
343	2956	5061
344	2967	5057
345	2978	5053
346	2990	5051
347	3002	5047
348	3011	5039
349	3020	5031
350	3033	5030
351	3040	5018
352	3050	5012
353	3060	5006
354	3070	4999
355	3078	4988
356	3087	4981
357	3095	4972
358	3118	4985
359	3126	4976
360	3134	4966
361	3141	4955
362	3150	4947
363	3159	4938
364	3169	4931
365	3175	4919
366	3182	4907
367	3188	4895
368	3195	4884
369	3201	4872
370	3209	4861
371	3215	4849
372	3222	4838
373	3230	4828
374	3237	4817
375	3243	4804
376	3250	4793
377	3257	4782
378	3264	4772
379	3273	4763
380	3279	4752
381	3286	4740
382	3293	4728
383	3300	4718
384	3307	4707
385	3315	4697
386	3323	4689
387	3333	4682
388	3341	4672
389	3352	4668
390	3361	4659
391	3368	4649
392	3376	4639
393	3384	4630
394	3392	4620
395	3400	4611
396	3407	4600
397	3416	4592
398	3423	4581
399	3431	4572
400	3438	4561
401	3445	4551
402	3452	4540
403	3459	4530
404	3466	4519
405	3474	4510
406	3482	4501
407	3489	4490
408	3498	4482
409	3506	4472
410	3550	4508
411	3580	4527
412	3594	4526
413	3618	4536
414	3629	4530
415	3637	4520
416	3652	4519
417	3663	4513
418	3675	4508
419	3684	4500
420	3694	4493
421	3703	4484
422	3715	4479
423	3726	4473
424	3734	4463
425	3744	4456
426	3752	4447
427	3760	4437
428	3767	4426
429	3781	4423
430	3793	4418
431	3799	4406
432	3808	4398
433	3819	4391
434	3826	4380
435	3833	4369
436	3839	4358
437	3846	4347
438	3854	4337
439	3862	4327
440	3870	4318
441	3877	4307
442	3885	4297
443	3892	4287
444	3901	4278
445	3910	4269
446	3917	4259
447	3925	4249
448	3932	4239
449	3939	4228
450	3947	4219
451	3955	4208
452	3962	4198
453	3970	4189
454	3980	4182
455	3990	4174
456	3999	4165
457	4010	4159
458	4021	4152
459	4031	4145
460	4039	4135
461	4046	4125
462	4054	4115
463	4063	4106
464	4070	4096
465	4077	4086
466	4085	4076
467	4093	4066
468	4099	4055
469	4106	4045
470	4114	4035
471	4121	4025
472	4128	4014
473	4134	4004
474	4141	3993
475	4148	3983
476	4155	3972
477	4161	3961
478	4168	3950
479	4175	3940
480	4183	3931
481	4190	3921
482	4197	3910
483	4204	3900
484	4210	3889
485	4217	3879
486	4225	3869
487	4231	3859
488	4242	3851
489	4250	3842
490	4260	3835
491	4270	3827
492	4279	3819
493	4289	3812
494	4299	3804
495	4311	3798
496	4318	3788
497	4327	3780
498	4336	3771
499	4346	3763
500	4354	3754
501	4365	3747
502	4372	3737
503	4383	3730
504	4397	3726
505	4404	3717
506	4413	3708
507	4420	3698
508	4433	3693
509	4441	3684
510	4449	3674
511	4462	3669
512	4468	3658
513	4478	3650
514	4490	3644
515	4498	3635
516	4509	3628
517	4518	3619
518	4529	3613
519	4534	3601
520	4541	3591
521	4548	3581
522	4557	3572
523	4564	3562
524	4570	3551
525	4577	3542
526	4585	3532
527	4592	3522
528	4598	3511
529	4604	3500
530	4610	3490
531	4617	3480
532	4623	3469
533	4629	3458
534	4636	3449
535	4644	3440
536	4650	3429
537	4657	3419
538	4667	3411
539	4674	3401
540	4680	3391
541	4687	3381
542	4693	3371
543	4700	3361
544	4706	3350
545	4713	3340
546	4720	3330
547	4726	3320
548	4732	3310
549	4739	3300
550	4745	3290
551	4752	3280
552	4759	3270
553	4765	3260
554	4772	3250
555	4779	3240
556	4786	3230
557	4794	3222
558	4802	3213
559	4810	3204
560	4818	3194
561	4825	3185
562	4834	3177
563	4843	3168
564	4852	3160
565	4861	3152
566	4872	3145
567	4882	3137
568	4889	3127
569	4899	3120
570	4909	3112
571	4919	3104
572	4933	3099
573	4943	3092
574	4953	3084
575	4965	3077
576	4976	3070
577	4984	3061
578	4992	3052
579	5000	3043
580	5008	3034
581	5016	3025
582	5025	3017
583	5034	3008
584	5041	2999
585	5050	2990
586	5059	2982
587	5067	2973
588	5076	2964
589	5084	2955
590	5092	2946
591	5099	2937
592	5106	2927
593	5112	2917
594	5119	2908
595	5125	2898
596	5131	2888
597	5138	2878
598	5144	2868
599	5150	2858
600	5157	2849
601	5164	2839
602	5171	2830
603	5177	2820
604	5184	2810
605	5190	2800
606	5197	2791
607	5203	2781
608	5210	2772
609	5217	2762
610	5225	2753
611	5233	2744
612	5239	2735
613	5245	2725
614	5252	2715
615	5258	2706
616	5265	2696
617	5271	2686
618	5278	2677
619	5285	2668
620	5291	2658
621	5297	2648
622	5304	2639
623	5312	2630
624	5319	2621
625	5326	2612
626	5332	2602
627	5338	2592
628	5346	2583
629	5353	2574
630	5359	2565
631	5365	2555
632	5372	2546
633	5379	2537
634	5385	2527
635	5392	2517
636	5398	2508
637	5404	2498
638	5411	2489
639	5417	2480
640	5423	2470
641	5429	2461
642	5435	2451
643	5441	2442
644	5447	2432
645	5454	2423
646	5460	2413
647	5467	2404
648	5474	2395
649	5481	2386
650	5488	2377
651	5494	2368
652	5501	2359
653	5509	2350
654	5516	2341
655	5523	2332
656	5531	2323
657	5539	2315
658	5546	2306
659	5553	2297
660	5560	2288
661	5567	2279
662	5574	2270
663	5582	2261
664	5590	2253
665	5598	2244
666	5606	2235
667	5613	2227
668	5622	2218
669	5630	2210
670	5638	2201
671	5646	2192
672	5653	2184
673	5662	2175
674	5671	2167
675	5678	2158
676	5686	2150
677	5695	2142
678	5704	2133
679	5711	2125
680	5719	2116
681	5727	2107
682	5734	2098
683	5742	2090
684	5748	2081
685	5756	2072
686	5763	2063
687	5770	2054
688	5777	2046
689	5784	2037
690	5791	2028
691	5798	2019
692	5806	2010
693	5812	2001
694	5818	1992
695	5824	1983
696	5831	1974
697	5838	1965
698	5845	1956
699	5851	1947
700	5858	1938
701	5864	1929
702	5871	1921
703	5879	1912
704	5887	1904
705	5895	1895
706	5902	1886
707	5908	1877
708	5915	1868
